province;red;green;blue;
1021;154;150;173;Settsu
1022;26;152;32;Kii
1023;155;154;79;Echizen
1024;27;156;126;Echigo
1025;155;158;173;Dewa
1026;27;32;32;Mutsu
1027;155;34;79;Hitachi
1028;27;36;126;Musachi
1029;155;38;173;Shinano
1030;28;40;32;Owari
1031;156;42;79;Kamikawa
1032;28;44;126;Kurils
1033;156;46;173;Sakhalin
1034;28;48;32;Kamchatka
1035;156;50;79;Penchisky
1036;28;52;126;Podzhiversk
1037;157;54;173;Nizhe-Kolymsk
1038;29;56;32;Anadyrsk
1039;157;58;79;Verkhoyansk
1040;29;254;126;Suntar Khayat
1041;157;62;173;Gizhiga
1042;29;64;32;Kamnuskoye
1043;157;66;79;Okhotsk
1044;30;68;126;Tauisk
1045;158;70;173;Yakutsk
1046;30;243;32;Butalsk
1047;158;174;79;Jugjur
1048;30;76;126;Udskoye
1049;158;78;173;Saghalian Oula
1050;30;80;32;Deren
1051;159;82;79;Uchurskoye
1052;31;84;126;Verkohzehkoye
1053;159;86;173;Albazinsky
1054;31;88;32;Ilimsk
1055;159;90;79;Verkne-Angarsky
1056;31;92;126;Barguzinsky
1057;159;94;173;Udinsky
1058;32;96;32;Nerchinsky
1059;160;98;79;Bratsk
1060;32;100;126;Irkutsk
1061;160;102;173;Yeniseysk
1062;32;104;32;Kachinsk
1063;160;106;79;Sayan
1064;32;108;126;Tomsk
1065;161;110;173;Kuznetsk
1066;33;112;32;Altai
1067;161;114;79;Narym
1068;33;116;126;Pegaya Orda
1069;161;118;173;Surgut
1070;33;120;32;Koda
1071;161;122;79;Tara
1072;34;124;126;Obdorsk
1073;162;226;173;Berezov
1074;34;228;32;Tobolsk
1075;162;130;79;Tyumen
1076;34;132;126;Kurgan
1077;162;134;173;Solikamsk
1078;34;136;32;North Ufa
1079;163;138;79;Viatka
1080;35;140;126;Idnakar
1081;163;142;173;Bolgar
1082;35;144;32;Kazan
1083;163;146;79;Zavolochye
1084;35;148;126;Wadjuk
1085;163;150;173;Paredarerme
1086;36;152;32;Kaurna
1087;164;154;79;Woiworung
1088;36;156;126;Wergaia
1089;164;158;173;Wiradjuri
1090;36;232;32;Eora
1091;164;34;79;Kamilaroi
1092;36;36;126;Bundjalung
1093;165;38;173;Barunggam
1094;37;240;32;Gubbi Gubbi
1095;165;42;79;Falklands
1096;37;44;126;Cape Verde
1097;165;46;173;Fernando Po
1098;37;248;32;St. Helena
1099;165;50;79;Socotra
1100;38;52;126;Mahe
1101;166;54;173;Diego Garcia
1102;38;247;32;Mauritius
1103;166;58;79;Bourbon
1104;38;60;126;Eiriksfjord
1105;166;62;173;Vestbygden
1106;38;164;32;Whangarei
1107;167;66;79;Taranaki
1108;39;68;126;Wairoa
1109;167;70;173;Timaru
1110;39;72;32;Rio de Oro
1111;167;74;79;Arguin
1112;39;76;126;Trarza
1113;167;78;173;Cayor
1114;40;80;32;Gabu
1115;168;82;79;Brakna
1116;40;84;126;Wolof
1117;168;86;173;Futa Jallon
1118;40;88;32;Sierra Leone
1119;168;90;79;Grain Coast
1120;40;92;126;Bambuk
1121;169;94;173;Bure
1122;41;96;32;Konian
1123;169;98;79;Segu
1124;41;100;126;Wasuju
1125;169;102;173;Worodugu
1126;41;104;32;Ivory Coast
1127;169;106;79;Tuat
1128;42;108;126;Taodeni
1129;170;110;173;Azawadd
1130;42;112;32;Tadimekket
1131;170;114;79;Massina
1132;42;116;126;Timbuktu
1133;170;118;173;Gao
1134;42;120;32;Jenne
1135;171;122;79;Yatenga
1136;43;124;126;Gurma
1137;171;126;173;Wagadugi
1138;43;128;32;Kumasi
1139;171;130;79;Gold Coast
1140;43;132;126;Abomey
1141;171;134;173;Whydah
1142;44;136;32;Dendi
1143;172;138;79;Borgu
1144;44;140;126;Oyo
1145;172;142;173;Nupe
1146;44;144;32;Ife
1147;172;146;79;Benin
1148;44;148;126;Gobir
1149;173;150;173;Katsina
1150;45;152;32;Zamfara
1151;173;154;79;Bonny
1152;45;156;126;Idah
1153;173;158;173;Pindinga
1154;45;32;32;Zazzau
1155;173;34;79;Kano
1156;46;36;126;Damagaram
1157;174;38;173;Damasak
1158;46;40;32;Kanem
1159;174;42;79;Bagirmi
1160;46;44;126;Bornu
1161;174;246;173;Bauchi
1162;46;48;32;Wukari
1163;175;50;79;Calabar
1164;47;52;126;Cameroon
1165;175;54;173;Gabon
1166;47;236;32;Loango
1167;175;58;79;Luanda
1168;47;60;126;Kisarna
1169;175;62;173;Mayombe
1170;48;64;32;Kongo
1171;176;66;79;Ndongo
1172;48;68;126;Benguela
1173;176;70;173;Damaraland
1174;48;172;32;Greater Namaqualand
1175;176;74;79;Lesser Namaqualand
1176;48;76;126;Roggeveld
1177;177;78;173;Cape
1178;49;80;32;Great Karoo
1179;177;82;79;Little Karoo
1180;49;84;126;Transkei
1181;177;86;173;Natal
1182;49;88;32;Delagoa Bay
1183;177;90;79;Inhambane
1184;50;92;126;Zimbabwe
1185;178;94;173;Uteve
1186;50;96;32;Sofala
1187;178;98;79;Urungwe
1188;50;100;126;Tete
1189;178;202;173;Barwe
1190;50;104;32;Zumbo
1191;179;106;79;Sena
1192;51;108;126;Quelimane
1193;179;110;173;Menabe
1194;51;212;32;Boina
1195;179;114;79;Mozambique
1196;51;116;126;Kilwa
1197;179;118;173;Ujiji
1198;52;120;32;Tabora
1199;180;122;79;Bagamoyo
1200;52;124;126;Tanga
1201;180;126;173;Zanzibar
1202;52;128;32;Mombasa
1203;180;130;79;Malindi
1204;52;132;126;Chisimayo
1205;181;134;173;Mogadishu
1206;53;136;32;Mayertern
1207;181;138;79;Ogaden
1208;53;140;126;Haud
1209;181;142;173;Berbera
1210;53;144;32;Ifat
1211;181;146;79;Harer
1212;54;148;126;Zeila
1213;182;150;173;Shoa
1214;54;152;32;Awsa
1215;182;154;79;Tajura
1216;54;156;126;Dar Nuba
1217;182;158;173;Fazughli
1218;54;32;32;Kefa
1219;183;34;79;Kordofan
1220;55;36;126;Dar Ja'al
1221;183;38;173;Taqali
1222;55;40;32;Gezira
1223;183;42;79;Gojjam
1224;55;44;126;Gonder
1225;183;246;173;Butana
1226;56;48;32;Taka
1227;184;50;79;Tigre
1228;56;252;126;Dongola
1229;184;54;173;Berber
1230;56;56;32;Massawa
1231;184;58;79;Ibrim
1232;56;60;126;Suakin
1233;185;62;173;Kargah
1234;57;164;32;Nubia
1235;185;66;79;Guam
1236;57;68;126;Rabaul
1237;185;70;173;Papua
1238;57;172;32;Solomon Islands
1239;185;74;79;Vanuatu
1240;58;76;126;Hawaii
1241;186;78;173;Kiribati
1242;58;180;32;Fiji
1243;186;82;79;Samoa
1244;58;84;126;Tahiti
1245;186;86;173;Irian
1246;58;188;32;Aorangi
1247;187;90;79;Corsica
1248;59;92;126;Maldives
1249;187;94;173;Yola
1250;1;200;200;Vänern
1251;2;200;250;Vättern
1252;3;220;250;Gulf of Bothnia
1253;4;250;250;Ålands Hav
1254;5;200;200;Gulf of Finland
1255;6;200;250;Western Baltic Sea
1256;7;220;250;Gulf of Riga
1257;8;250;250;Southern Baltic Sea
1258;9;200;200;Öresund
1259;10;200;250;Kattegat
1260;11;220;250;Peipsi Järv
1261;12;250;250;Ladoga
1262;13;200;200;Onega
1263;14;200;250;Barents Sea
1264;15;220;250;Lofoten Sea
1265;16;250;250;Northern Norwegian Sea
1266;17;200;200;Southern Norwegian Sea
1267;18;200;250;Skagerrack
1268;19;220;250;Helgoland Bight
1269;20;250;250;Coast of Holland
1270;21;200;200;Dogger Bank
1271;22;200;250;Straits of Dover
1272;23;220;250;The Channel
1273;24;250;250;Lands End
1274;25;200;200;Coast of Britanny
1275;26;200;250;Quiberon Bay
1276;27;220;250;Cote D'Argent
1277;28;250;250;Bay of Biscay
1278;29;200;200;Cantabrian Sea
1279;30;200;250;Tyne
1280;31;220;250;Firth of Forth
1281;32;250;250;The North Sea
1282;33;200;200;Moray Firth
1283;34;200;250;North Channel
1284;35;220;250;Irish Sea
1285;36;250;250;St. George's Channel
1286;37;200;200;Donegal Bay
1287;38;200;250;Dingle Bay
1288;39;220;250;Celtic Sea
1289;40;250;250;Western Approaches
1290;41;200;200;Finisterre Bay
1291;42;200;250;Lusitanian Sea
1292;43;220;250;Gulf of Cadiz
1293;44;250;250;Straits of Gibraltar
1294;45;200;200;Gulf of Almeira
1295;46;200;250;Gulf of Valencia
1296;47;220;250;Gulf of Lion
1297;48;250;250;Cote D'Azur
1298;49;200;200;Ligurian Sea
1299;50;200;250;Gulf of Mallocra
1300;51;220;250;Western Mediterranean
1301;52;250;250;Barbary Coast
1302;53;200;200;Cape Bon
1303;54;200;250;Tyrrenean Sea
1304;55;220;250;Bay of Naples
1305;56;250;250;Gulf of Gabes
1306;57;200;200;Malta Channel
1307;58;200;250;Straits of Messina
1308;59;220;250;Gulf of Venice
1309;60;250;250;Adriatic Sea
1310;61;200;200;Straits of Otranto
1311;62;200;250;Gulf of Taranto
1312;63;220;250;Ionian Sea
1313;64;250;250;Gulf of Sirte
1314;65;200;200;Gulf of Tobruk
1315;66;200;250;Bay of Alexandrian
1316;67;220;250;Palestinian Coast
1317;68;250;250;Gulf of Cyprus
1318;69;200;200;Sea of Crete
1319;70;200;250;Aegean Sea
1320;71;220;250;Sea of Marmara
1321;72;250;250;Gulf of Varna
1322;73;200;200;Gulf of Odessa
1323;74;200;250;Sea of Azov
1324;75;220;250;Eastern Black Sea
1325;76;250;250;Lake Balaton
1326;77;200;200;Caspian Sea
1327;78;200;250;Aral Sea
1328;79;220;250;Gulf of Suez
1329;80;250;250;Red Sea
1330;81;200;200;Straits of Obokk
1331;82;200;250;Bal el Mandeb
1332;83;220;250;Coast of Mascate
1333;84;250;250;Mascate Coast
1334;85;200;200;Straits of Hormuz
1335;86;200;250;Persian Gulf
1336;87;220;250;Gulf of Indus
1337;88;250;250;Gulf of Gujarat
1338;89;200;200;Laquedive Islands
1339;90;200;250;Coast of Malabar
1340;91;220;250;Comorin Cape
1341;92;250;250;Coast of Caramandel
1342;93;200;200;Coast of Orissa
1343;94;200;250;Ganges Delta
1344;95;220;250;Akyab Bay
1345;96;250;250;Irrawady Delta
1346;97;200;200;Andaman Sea
1347;98;200;250;Mergui Archipelago
1348;99;220;250;Straits of Malacca
1349;100;250;250;Nicobar Isles
1350;101;200;200;Coast of Atjeh
1351;102;200;250;Coast of Sumatra
1352;103;220;250;Christmas Island
1353;104;250;250;Coast of Java
1354;105;200;200;Coast of Surabaya
1355;106;200;250;Straits of Lombok
1356;107;220;250;Timor Sea
1357;108;250;250;The Moluccas
1358;109;200;200;Java Sea
1359;110;200;250;Straits of Makassar
1360;111;220;250;Karimata Strait
1361;112;250;250;Straits of Johore
1362;113;200;200;Malayan Sea
1363;114;200;250;Coast of Sarawk
1364;115;220;250;Mekong Delta
1365;116;250;250;Gulf of Siam
1366;117;200;200;Cam Rah Bay
1367;118;200;250;South China Sea
1368;119;220;250;Coast of Brunei
1369;120;250;250;Coast of Annam
1370;121;200;200;Gulf of Tonkin
1371;122;200;250;Guanghou Bay
1372;123;220;250;Taiwan Strait
1373;124;250;250;Yang Tse Delta
1374;125;200;200;Yellow Sea
1375;126;200;250;Korea Bay
1376;127;220;250;South Korean Sea
1377;0;251;251;North Korean Sea
1378;1;201;201;Coast of Olga
1379;2;201;251;Tatar Straits
1380;3;221;251;Amur Delta
1381;4;251;251;Baj of Ayan
1382;5;201;201;Bay of Komenskoie
1383;6;201;251;Coast of Kamchatska
1384;7;221;251;Oktothsk Sea
1385;8;251;251;Coast Sahkalin
1386;9;201;201;Soya Strait
1387;10;201;251;Tsugaru Strait
1388;11;221;251;Sea of Japan
1389;12;251;251;Amakusa Sea
1390;13;201;201;Setto Inland Sea
1391;14;201;251;Tokai Sea
1392;15;221;251;Ryukyu Islands
1393;16;251;251;Luzon Strait
1394;17;201;201;Paracel Islands
1395;18;201;251;Manila Bay
1396;19;221;251;Coast of Luzon
1397;20;251;251;Gulf of Leyte
1398;21;201;201;Sulu Sea
1399;22;201;251;Sea of Celebes
1400;23;221;251;Sea of Ternete
1401;24;251;251;Sea of Banda
1402;25;201;201;Philipine Sea
1403;26;201;251;Palau Islands
1404;27;221;251;Biak Bay
1405;28;251;251;Vilian Strait
1406;29;201;201;Trobrian Islands
1407;30;201;251;Torres Strait
1408;31;221;251;Arafuam Sea
1409;32;251;251;Kolepom Bay
1410;33;201;201;Gulf of Carpentaria
1411;34;201;251;Great Barrier Reef
1412;35;221;251;Capricorn Bay
1413;36;251;251;Cape Howe
1414;37;201;201;Bass Strait
1415;38;201;251;Kangaroo Island
1416;39;221;251;Great Australian Bight
1417;40;251;251;Cape Leuwiin
1418;41;201;201;Shark Bay
1419;42;201;251;Northwest Cape
1420;43;221;251;King Sound
1421;44;251;251;Tasman Sea
1422;45;201;201;Southern Tasman Sea
1423;46;201;251;Cook Strait
1424;47;221;251;Northern Tasman Sea
1425;48;251;251;Cape Farwell
1426;49;201;201;Coast of New Zealand
1427;50;201;251;Cantebury Bight
1428;51;221;251;Sea of Antarctica
1429;52;251;251;New Caledonian Sea
1430;53;201;201;Coral Sea
1431;54;201;251;Gilbert Sea
1432;55;221;251;Solomon Sea
1433;56;251;251;Nauru Island
1434;57;201;201;Melanesia Sea
1435;58;201;251;Micronesia Sea
1436;59;221;251;Yap Islands
1437;60;251;251;Mariana Islands
1438;61;201;201;Tinian Sea
1439;62;201;251;Iwo Jima Sea
1440;63;221;251;Taihei Ocean
1441;64;251;251;The Kuriles
1442;65;201;201;Bay of Uka
1443;66;201;251;Bay of Oljut
1444;67;221;251;Bay of Anadyr
1445;68;251;251;Bering Sea
1446;69;201;201;Horn of Africa
1447;70;201;251;Coast of Pepper
1448;71;221;251;Zanzibar Strait
1449;72;251;251;Mozambique Channel
1450;73;201;201;Diego Suarez Bay
1451;74;201;251;Western Arabian Sea
1452;75;221;251;Eastern Arabian Sea
1453;76;251;251;The Seychelles
1454;77;201;201;Coast of Tamatave
1455;78;201;251;The Mascareignes
1456;79;221;251;Gulf of Zambeze
1457;80;251;251;Coast of Natal
1458;81;201;201;Coast of Transkei
1459;82;201;251;Coast of Ciskei
1460;83;221;251;Cape of Good Hope
1461;84;251;251;Coast of Namibia
1462;85;201;201;Coast of Angola
1463;86;201;251;Gulf of Kongo
1464;87;221;251;Coast of Cameroon
1465;88;251;251;Gulf of Nigeria
1466;89;201;201;Ivory Coast
1467;90;201;251;Gold Coast
1468;91;221;251;Coast of Gamvia
1469;92;251;251;Coast of Guinea
1470;93;201;201;Maueretanian Coast
1471;94;201;251;Canarian Sea
1472;95;221;251;Coast of Morocco
1473;96;251;251;Jan Mayen Sea
1474;97;201;201;Spitzberg Sea
1475;98;201;251;Icelandic Sea
1476;99;221;251;Shetland Straits
1477;100;251;251;Coast of Iceland
1478;101;201;201;Northeastern Atlantic
1479;102;201;251;Rockall
1480;103;221;251;Denmark Strait
1481;104;251;251;Eastern Coast of Greenland
1482;105;201;201;Western Coast of Greenland
1483;106;201;251;Labrador Strait
1484;107;221;251;Baffin Bay
1485;108;251;251;Hudson Straits
1486;109;201;201;James Bay
1487;110;201;251;Western Hudson Bay
1488;111;221;251;Eastern Hudson Bay
1489;112;251;251;Foxe Bassin
1490;113;201;201;Gulf of St. Lawrence
1491;114;201;251;Cabot Strait
1492;115;221;251;Bay of Fundy
1493;116;251;251;Strait of Belle Isle
1494;117;201;201;Fortune Bay
1495;118;201;251;Notre Dame Bay
1496;119;221;251;Labrador Sea
1497;120;251;251;Greenland Sea
1498;121;201;201;Northern Atlantic
1499;122;201;251;Masschusetts Bay
1500;123;221;251;Chesapaeake Bay
1501;124;251;251;Cape Hatteras
1502;125;201;201;Coast of Carolina
1503;126;201;251;Coast of Florida
1504;127;221;251;Sea of Sargassos
1505;0;252;252;Florida Straits
1506;1;202;202;Apalachee Bay
1507;2;202;252;Mobile Bay
1508;3;222;252;Galveston Bay
1509;4;252;252;Tampico Bay
1510;5;202;202;Yucatan Sea
1511;6;202;252;Gulf of Mexico
1512;7;222;252;Yucatan Channel
1513;8;252;252;Belize Bay
1514;9;202;202;Moscitos Coast
1515;10;202;252;Gulf of Darien
1516;11;222;252;Jamica Channel
1517;12;252;252;Central Carribean
1518;13;202;202;Northwestern Carribean
1519;14;202;252;Venezualan Gulf
1520;15;222;252;Venezuelan Sea
1521;16;252;252;Eastern Carribean
1522;17;202;202;Windward Islands
1523;18;202;252;Lesser Antilles
1524;19;222;252;Turks & Caicos Sea
1525;20;252;252;Coast of Cuba
1526;21;202;202;Coast of Hispaniola
1527;22;202;252;Guyana Coast
1528;23;222;252;Bay of Belem
1529;24;252;252;Amazonas Gulf
1530;25;202;202;Coast of Brazil
1531;26;202;252;Coast of Recife
1532;27;222;252;Coast of Pernambuc
1533;28;252;252;Todos Santos Bay
1534;29;202;202;Rio De Janeiro
1535;30;202;252;Baia Parangua
1536;31;222;252;Rio De La Plata
1537;32;252;252;Bahia Blanca
1538;33;202;202;Coast of Patagonia
1539;34;202;252;Magellan Strait
1540;35;222;252;South Chilean Coast
1541;36;252;252;Coast of Chile
1542;37;202;202;Atacama Coast
1543;38;202;252;Arica Gulf
1544;39;222;252;Arequipa Bay
1545;40;252;252;Coast of Peru
1546;41;202;202;Guayaguil Bay
1547;42;202;252;Coast of Ecuador
1548;43;222;252;Gulf of Panama
1549;44;252;252;Bay of Costa Rica
1550;45;202;202;Acapulco Bay
1551;46;202;252;Manzazilla Bay
1552;47;222;252;Mazatlan Bay
1553;48;252;252;Gulf of California
1554;49;202;202;Coast of Baja
1555;50;202;252;Coast of California
1556;51;222;252;Santa Catalina Islands
1557;52;252;252;Coast of Oregon
1558;53;202;202;Coast of Columbia
1559;54;202;252;Hecate Strait
1560;55;222;252;Gulf of Alaska
1561;56;252;252;Coast of Alaska
1562;57;202;202;Kuskowim Bay
1563;58;202;252;Hatton Bank
1564;59;222;252;Eastern Gibbs Fracture
1565;60;252;252;Western Gibbs Fracture
1566;61;202;202;Iberian Shelf
1567;62;202;252;Sea of Azores
1568;63;222;252;Corner Seamounts
1569;64;252;252;New England Seamounts
1570;65;202;202;Sable Island Bank
1571;66;202;252;Blake Plataeu
1572;67;222;252;West Bermuda Sea
1573;68;252;252;East Bermuda Sea
1574;69;202;202;Some Funny Seaname
1575;70;202;252;Northern Guiana Basin
1576;71;222;252;Guiana Basin
1577;72;252;252;Southern Guiana Basin
1578;73;202;202;Canary Approach
1579;74;202;252;Cap Verde Approach
1580;75;222;252;Central Atlantic #1
1581;76;252;252;Central Atlantic #2
1582;77;202;202;Central Atlantic #3
1583;78;202;252;Central Atlantic #4
1584;79;222;252;Romanche Gap
1585;80;252;252;East Guinea Basin
1586;81;202;202;West Guinea Basin
1587;82;202;252;Coast of Falklands
1588;83;222;252;New Georgia Islands
1589;84;252;252;Western Atlantic #1
1590;85;202;202;Western Atlantic #2
1591;86;202;252;Western Atlantic #3
1592;87;222;252;Western Atlantic #4
1593;88;252;252;Western Atlantic #5
1594;89;202;202;Western Atlantic #6
1595;90;202;252;East of Magellans
1596;91;222;252;Central Atlantic #5
1597;92;252;252;Central Atlantic #6
1598;93;202;202;Central Atlantic #7
1599;94;202;252;Central Atlantic #8
1600;95;222;252;Eastern Atlantic #1
1601;96;252;252;Eastern Atlantic #2
1602;97;202;202;Eastern Atlantic #3
1603;98;202;252;Eastern Atlantic #4
1604;99;222;252;Eastern Atlantic #5
1605;100;252;252;Eastern Atlantic #6
1606;101;202;202;Southern Atlantic #1
1607;102;202;252;Southern Atlantic #2
1608;103;222;252;Southern Atlantic #3
1609;104;252;252;Southern Atlantic #4
1610;105;202;202;Cape of Storms
1611;106;202;252;Gulf of Bengal
1612;107;222;252;Northen Bay of Bengal
1613;108;252;252;Southern Bay of Bengal
1614;109;202;202;Ceylon Sea
1615;110;202;252;Coast of Maldives
1616;111;222;252;Indian Ocean #1
1617;112;252;252;Indian Ocean #2
1618;113;202;202;Indian Ocean #3
1619;114;202;252;Indian Ocean #4
1620;115;222;252;Indian Ocean #5
1621;116;252;252;Indian Ocean #6
1622;117;202;202;Indian Ocean #7
1623;118;202;252;Indian Ocean #8
1624;119;222;252;Indian Ocean #9
1625;120;252;252;Indian Ocean #10
1626;121;202;202;Indian Ocean #11
1627;122;202;252;Indian Ocean #12
1628;123;222;252;Indian Ocean #13
1629;124;252;252;Indian Ocean #14
1630;125;202;202;Indian Ocean #15
1631;126;202;252;Indian Ocean #16
1632;127;222;252;Indian Ocean #17
1633;0;253;253;Indian Ocean #18
1634;1;203;203;Indian Ocean #19
1635;2;203;253;Indian Ocean #20
1636;3;223;253;Indian Ocean #21
1637;4;253;253;Indian Ocean #22
1638;5;203;203;Indian Ocean #23
1639;6;203;253;Indian Ocean #24
1640;7;223;253;Indian Ocean #25
1641;8;253;253;Indian Ocean #26
1642;9;203;203;Indian Ocean #27
1643;10;203;253;Indian Ocean #28
1644;11;223;253;Indian Ocean #29
1645;12;253;253;Indian Ocean #30
1646;13;203;203;Indian Ocean #31
1647;14;203;253;Indian Ocean #32
1648;15;223;253;Lake Tchad
1649;16;253;253;Lake Victoria
1650;17;203;203;Lake Tangayika
1651;18;203;253;Lake Malawi
1652;19;223;253;White Sea
1653;20;253;253;Lake Balchasj
1654;21;203;203;Lake Bajkal
1655;22;203;253;Chinese Lake Needs Name
1656;23;223;253;Lake Titicaca
1657;24;253;253;Lake Nicaragua
1658;25;203;203;Everglades
1659;26;203;253;Lake Ontario
1660;27;223;253;Lake Erie
1661;28;253;253;Lake Huron
1662;29;203;203;Lake Michigan
1663;30;203;253;Lake Superior
1664;31;223;253;Lake Nipigon
1665;32;253;253;Lake Winnipeg
1666;33;203;203;Western Pacific #1
1667;34;203;253;Western Pacific #2
1668;35;223;253;Western Pacific #3
1669;36;253;253;Western Pacific #4
1670;37;203;203;Western Pacific #5
1671;38;203;253;Western Pacific #6
1672;39;223;253;Western Pacific #7
1673;40;253;253;Western Pacific #8
1674;41;203;203;Western Pacific #9
1675;42;203;253;Western Pacific #10
1676;43;223;253;Western Pacific #11
1677;44;253;253;Northern Pacific #1
1678;45;203;203;Northern Pacific #2
1679;46;203;253;Northern Pacific #3
1680;47;223;253;Northern Pacific #4
1681;48;253;253;Northern Pacific #5
1682;49;203;203;Northern Pacific #6
1683;50;203;253;Northern Pacific #7
1684;51;223;253;Northern Pacific #8
1685;52;253;253;Northern Pacific #9
1686;53;203;203;Northern Pacific #10
1687;54;203;253;Central Pacific #1
1688;55;223;253;Central Pacific #2
1689;56;253;253;Central Pacific #3
1690;57;203;203;Central Pacific #4
1691;58;203;253;Central Pacific #5
1692;59;223;253;Central Pacific #6
1693;60;253;253;Central Pacific #7
1694;61;203;203;Central Pacific #8
1695;62;203;253;Central Pacific #9
1696;63;223;253;Central Pacific #10
1697;64;253;253;Coast of Hawaii
1698;65;203;203;Central Pacific #11
1699;66;203;253;Central Pacific #12
1700;67;223;253;Eastern Pacific #1
1701;68;253;253;Eastern Pacific #2
1702;69;203;203;Eastern Pacific #3
1703;70;203;253;Eastern Pacific #4
1704;71;223;253;Eastern Pacific #5
1705;72;253;253;Eastern Pacific #6
1706;73;203;203;Eastern Pacific #7
1707;74;203;253;Eastern Pacific #8
1708;75;223;253;Eastern Pacific #9
1709;76;253;253;Eastern Pacific #10
1710;77;203;203;Eastern Pacific #11
1711;78;203;253;Eastern Pacific #12
1712;79;223;253;Eastern Pacific #13
1713;80;253;253;Eastern Pacific #14
1714;81;203;203;Eastern Pacific #15
1715;82;203;253;Eastern Pacific #16
1716;83;223;253;Eastern Pacific #17
1717;85;203;203;Southern Pacifc #1
1718;86;203;253;Southern Pacifc #2
1719;87;223;253;Southern Pacifc #3
1720;88;253;253;Southern Pacifc #4
1721;89;203;203;Southern Pacifc #5
1722;90;203;253;Southern Pacifc #6
1723;91;223;253;Southern Pacifc #7
1724;92;253;253;Southern Pacifc #8
1725;93;203;203;Southern Pacifc #9
1726;94;203;253;Southern Pacifc #10
1727;95;223;253;Southern Pacifc #11
1728;96;253;253;Southern Pacifc #12
1729;97;203;203;Southern Pacifc #13
1730;98;203;253;Southern Pacifc #14
1731;99;223;253;Southern Pacifc #15
1732;100;253;253;Southern Pacifc #16
1733;101;203;203;Southern Pacifc #17
1734;102;203;253;Southern Pacifc #18
1735;103;223;253;Southern Pacifc #19
1736;104;203;203;Southern Pacifc #20
1737;106;203;253;Southern Pacifc #22
1738;107;223;253;Southern Pacifc #23
1739;108;253;253;Southern Pacifc #24
1740;109;203;203;Southern Pacifc #25
1741;110;203;253;Southern Pacifc #26
1742;66;68;126;Limburg
1743;194;70;173;Cambray
1744;66;72;32;Antwerpen
1745;195;74;79;Cantabria
1746;67;76;126;Burgos
1747;195;78;173;Caceres
1748;67;80;32;La Mancha
1749;195;82;79;Cadiz
1750;67;84;126;Alicante
1751;195;86;173;Ceuta
1752;68;88;32;Rzhev
1753;196;90;79;Kostroma
1754;68;92;126;Orel
1755;196;94;173;Ustyug
1756;68;96;32;Budjak
1757;196;98;79;Oberpfalz
1758;68;100;126;Hannover
1759;197;102;173;Potsdam
1760;69;104;32;Koblenz
1761;197;106;79;Alzey
1762;69;108;126;Kassel
1763;197;110;173;Niederlausitz
1764;69;112;32;Burgas
1765;197;114;79;Nis
1766;70;116;126;Kosovo
1767;198;118;173;Osijek
1768;70;120;32;Lienz
1769;198;122;79;Görz
1770;70;124;126;Ostmarch
1771;198;126;173;Erz
1772;70;128;32;Presburg
1773;199;130;79;Achaea
1774;71;132;126;Treviso
1775;199;134;173;Holstein
1776;71;136;32;Karelia
1777;199;138;79;Kola
1778;71;140;126;Kasimov
1779;199;142;173;Rub' al Khali
1780;72;144;32;Komi
1781;200;146;79;Western Siberia
1782;72;148;126;Eastern Siberia
1783;200;150;173;Koryak
1784;72;152;32;Tiam Shan
1785;200;154;79;Karakoram
1786;72;156;126;Takla Makan
1787;201;158;173;Himalaya
1788;73;32;32;Arunachal
1789;201;34;79;Maoke
1790;73;36;126;Western Australia
1791;201;38;173;Central Australia
1792;201;42;79;Antananarivo
1793;74;44;126;El Djouf
1794;202;46;173;Central Sahara
1795;74;48;32;East Sahara
1796;202;50;79;Central Africa
1797;74;52;126;Inner Kongo
1798;202;54;173;Uganda
1799;74;56;32;Malawi
1800;203;58;79;Zambia
1801;75;60;126;Kalahari
1802;203;62;173;Northern Amazonas
1803;75;64;32;Southern Amazonas
1804;203;66;79;Greenland
1805;75;68;126;Québec
1806;203;70;173;Weagamow
1807;76;72;32;Baffin Island
1808;204;74;79;Great Basin
1809;76;76;126;Great Plains
1810;204;78;173;Alaska
1811;76;80;32;Nunavut
1812;204;82;79;Northwest Territories
1813;76;84;126;Saskatchewan
1814;205;86;173;Columbia
1815;77;88;32;Hyuga
1816;205;90;79;Hejian
1817;77;92;126;Higo
1818;205;94;173;Chikuzen
1819;77;96;32;Tosa
1820;205;98;79;Awa
1821;78;100;126;Nanjing
1822;206;102;173;Shangai
1823;78;104;32;Iwami
1824;206;106;79;Wenzhou
1825;78;108;126;Aki
1826;206;110;173;Hoki
1827;78;112;32;Bitchu
1828;207;114;79;Bingo
1829;79;116;126;Xiamen
1830;207;118;173;Tajima
1831;79;120;32;Tanba
1832;207;122;79;Yamato
1833;79;124;126;Ji'an
1834;207;126;173;Omi
1835;80;128;32;Mino
1836;208;130;79;Nanyang
1837;80;132;126;Etchu
1838;208;134;173;Hefei
1839;80;136;32;Totomi
1840;208;138;79;Guilin
1841;80;140;126;Izu
1842;209;142;173;Kazusa
1843;81;144;32;Kozuke
1844;209;146;79;Xiankhouang
1845;81;148;126;Uiji
1846;209;150;173;Yozgat
1847;81;152;32;Shiribeshi
1848;209;154;79;Hamid
1849;82;156;126;Hamah 
1850;210;158;173;Mudanjiang
